"Site","Table","Rows"
"Site 18","wp_18_gf_entry","0"
"Site 18","wp_18_gf_entry_meta","0"
"Site 18","wp_18_gf_entry_notes","0"
"Site 18","wp_18_gf_form_revisions","0"
"Site 18","wp_18_gf_form_view","0"
"Site 18","wp_18_gf_rest_api_keys","0"
"Site 18","wp_18_links","0"
"Site 18","wp_18_redirection_404","0"
"Site 18","wp_18_redirection_items","0"
"Site 18","wp_18_redirection_logs","0"
"Site 18","wp_18_relevanssi_log","0"
"Site 18","wp_18_termmeta","0"
"Site 18","wp_18_wpfm_backup","0"
"Site 18","wp_18_wpmailsmtp_debug_events","0"
"Site 18","wp_18_wpr_above_the_fold","0"
"Site 18","wp_18_wpr_lazy_render_content","0"
"Site 18","wp_18_wpr_performance_monitoring","0"
"Site 18","wp_18_wpr_preconnect_external_domains","0"
"Site 18","wp_18_wpr_preload_fonts","0"
"Site 18","wp_18_wpr_rocket_cache","0"
"Site 18","wp_18_wpr_rucss_used_css","0"
"Site 18","wp_18_yoast_primary_term","0"
"Site 18","wp_18_yoast_prominent_words","0"
"Site 19","wp_19_postmeta","158160"
"Site 19","wp_19_term_relationships","18767"
"Site 19","wp_19_yoast_indexable_hierarchy","17968"
"Site 19","wp_19_yoast_indexable","17869"
"Site 19","wp_19_posts","13895"
"Site 19","wp_19_relevanssi","12490"
"Site 19","wp_19_term_taxonomy","1071"
"Site 19","wp_19_terms","1071"
"Site 19","wp_19_relevanssi_stopwords","1021"
"Site 19","wp_19_options","703"
"Site 19","wp_19_yoast_seo_meta","605"
"Site 19","wp_19_ewwwio_images","564"
"Site 19","wp_19_yoast_seo_links","421"
"Site 19","wp_19_wpmailsmtp_tasks_meta","135"
"Site 19","wp_19_wpr_rocket_cache","43"
"Site 19","wp_19_wpr_above_the_fold","33"
"Site 19","wp_19_wpr_lazy_render_content","33"
"Site 19","wp_19_wpr_preconnect_external_domains","33"
"Site 19","wp_19_yoast_prominent_words","30"
"Site 19","wp_19_yoast_migrations","26"
"Site 19","wp_19_wpmailsmtp_debug_events","17"
"Site 19","wp_19_actionscheduler_actions","13"
"Site 19","wp_19_gf_form","6"
"Site 19","wp_19_gf_form_meta","6"
"Site 19","wp_19_gf_addon_feed","5"
"Site 19","wp_19_redirection_groups","2"
"Site 19","wp_19_comments","1"
"Site 19","wp_19_actionscheduler_claims","0"
"Site 19","wp_19_actionscheduler_groups","0"
"Site 19","wp_19_actionscheduler_logs","0"
"Site 19","wp_19_cmplz_cookiebanners","0"
"Site 19","wp_19_cmplz_cookies","0"
"Site 19","wp_19_cmplz_dnsmpd","0"
"Site 19","wp_19_cmplz_services","0"
"Site 19","wp_19_cmplz_statistics","0"
"Site 19","wp_19_commentmeta","0"
"Site 19","wp_19_ewwwio_queue","0"
"Site 19","wp_19_gf_draft_submissions","0"
"Site 19","wp_19_gf_entry","0"
"Site 19","wp_19_gf_entry_meta","0"
"Site 19","wp_19_gf_entry_notes","0"
"Site 19","wp_19_gf_form_revisions","0"
"Site 19","wp_19_gf_form_view","0"
"Site 19","wp_19_gf_rest_api_keys","0"
"Site 19","wp_19_links","0"
"Site 19","wp_19_redirection_404","0"
"Site 19","wp_19_redirection_items","0"
